council,year,type,process,tonnage
Aberdeen City,2011,Health care and biological wastes,Disposed by incineration,0
Aberdeen City,2011,Health care and biological wastes,Landfilled,0
Aberdeen City,2011,Household and similar wastes,Generated,63875.09
Aberdeen City,2011,Household and similar wastes,Prepared for reuse,0
Aberdeen City,2011,Household and similar wastes,Recycled,0
Aberdeen City,2011,Household and similar wastes,Organics recycled,0
Aberdeen City,2011,Household and similar wastes,Recovered by incineration,0
Aberdeen City,2011,Household and similar wastes,Recovered by co-incineration,0
Aberdeen City,2011,Household and similar wastes,Managed by other methods,0
Aberdeen City,2011,Household and similar wastes,Disposed by incineration,0
Aberdeen City,2011,Household and similar wastes,Landfilled,62521.93
Aberdeen City,2011,"Metallic wastes, ferrous",Generated,0
Aberdeen City,2011,"Metallic wastes, ferrous",Prepared for reuse,0
Aberdeen City,2011,"Metallic wastes, ferrous",Recycled,387.05
Aberdeen City,2011,"Metallic wastes, ferrous",Organics recycled,0
Aberdeen City,2011,"Metallic wastes, ferrous",Recovered by incineration,0
Aberdeen City,2011,"Metallic wastes, ferrous",Recovered by co-incineration,0
Aberdeen City,2011,"Metallic wastes, ferrous",Managed by other methods,0
Aberdeen City,2011,"Metallic wastes, ferrous",Disposed by incineration,0
Aberdeen City,2011,"Metallic wastes, ferrous",Landfilled,0
Aberdeen City,2011,"Metallic wastes, mixed ferrous and non-ferrous",Generated,690.65
Aberdeen City,2011,"Metallic wastes, mixed ferrous and non-ferrous",Prepared for reuse,0
Aberdeen City,2011,"Metallic wastes, mixed ferrous and non-ferrous",Recycled,690.65
Aberdeen City,2011,"Metallic wastes, mixed ferrous and non-ferrous",Organics recycled,0
Aberdeen City,2011,"Metallic wastes, mixed ferrous and non-ferrous",Recovered by incineration,0
Aberdeen City,2011,"Metallic wastes, mixed ferrous and non-ferrous",Recovered by co-incineration,0
Aberdeen City,2011,"Metallic wastes, mixed ferrous and non-ferrous",Managed by other methods,0
Aberdeen City,2011,"Metallic wastes, mixed ferrous and non-ferrous",Disposed by incineration,0
Aberdeen City,2011,"Metallic wastes, mixed ferrous and non-ferrous",Landfilled,0
Aberdeen City,2011,"Metallic wastes, non-ferrous",Generated,0
Aberdeen City,2011,"Metallic wastes, non-ferrous",Prepared for reuse,0
Aberdeen City,2011,"Metallic wastes, non-ferrous",Recycled,181.17
Aberdeen City,2011,"Metallic wastes, non-ferrous",Organics recycled,0
Aberdeen City,2011,"Metallic wastes, non-ferrous",Recovered by incineration,0
Aberdeen City,2011,"Metallic wastes, non-ferrous",Recovered by co-incineration,0
Aberdeen City,2011,"Metallic wastes, non-ferrous",Managed by other methods,0
Aberdeen City,2011,"Metallic wastes, non-ferrous",Disposed by incineration,0
Aberdeen City,2011,"Metallic wastes, non-ferrous",Landfilled,0
Aberdeen City,2011,Mineral waste from construction and demolition,Generated,2145.4
Aberdeen City,2011,Mineral waste from construction and demolition,Prepared for reuse,0
Aberdeen City,2011,Mineral waste from construction and demolition,Recycled,2145.4
Aberdeen City,2011,Mineral waste from construction and demolition,Organics recycled,0
Aberdeen City,2011,Mineral waste from construction and demolition,Recovered by incineration,0
Aberdeen City,2011,Mineral waste from construction and demolition,Recovered by co-incineration,0
Aberdeen City,2011,Mineral waste from construction and demolition,Managed by other methods,0
Aberdeen City,2011,Mineral waste from construction and demolition,Disposed by incineration,0
Aberdeen City,2011,Mineral waste from construction and demolition,Landfilled,0
Aberdeen City,2011,Mixed and undifferentiated materials,Generated,15.52
Aberdeen City,2011,Mixed and undifferentiated materials,Prepared for reuse,0
Aberdeen City,2011,Mixed and undifferentiated materials,Recycled,15.52
Aberdeen City,2011,Mixed and undifferentiated materials,Organics recycled,0
Aberdeen City,2011,Mixed and undifferentiated materials,Recovered by incineration,0
Aberdeen City,2011,Mixed and undifferentiated materials,Recovered by co-incineration,0
Aberdeen City,2011,Mixed and undifferentiated materials,Managed by other methods,0
Aberdeen City,2011,Mixed and undifferentiated materials,Disposed by incineration,0
Aberdeen City,2011,Mixed and undifferentiated materials,Landfilled,0
Aberdeen City,2011,Paper and cardboard wastes,Generated,7760.76
Aberdeen City,2011,Paper and cardboard wastes,Prepared for reuse,0
Aberdeen City,2011,Paper and cardboard wastes,Recycled,7760.76
Aberdeen City,2011,Paper and cardboard wastes,Organics recycled,0
Aberdeen City,2011,Paper and cardboard wastes,Recovered by incineration,0
Aberdeen City,2011,Paper and cardboard wastes,Recovered by co-incineration,0
Aberdeen City,2011,Paper and cardboard wastes,Managed by other methods,0
Aberdeen City,2011,Paper and cardboard wastes,Disposed by incineration,0
Aberdeen City,2011,Paper and cardboard wastes,Landfilled,0
Aberdeen City,2011,Plastic wastes,Generated,0
Aberdeen City,2011,Plastic wastes,Prepared for reuse,0
Aberdeen City,2011,Plastic wastes,Recycled,784.94
Aberdeen City,2011,Plastic wastes,Organics recycled,0
Aberdeen City,2011,Plastic wastes,Recovered by incineration,0
Aberdeen City,2011,Plastic wastes,Recovered by co-incineration,0
Aberdeen City,2011,Plastic wastes,Managed by other methods,0
Aberdeen City,2011,Plastic wastes,Disposed by incineration,0
Aberdeen City,2011,Plastic wastes,Landfilled,0
Aberdeen City,2011,Rubber wastes,Generated,15.87
Aberdeen City,2011,Rubber wastes,Prepared for reuse,0
Aberdeen City,2011,Rubber wastes,Recycled,15.87
Aberdeen City,2011,Rubber wastes,Organics recycled,0
Aberdeen City,2011,Rubber wastes,Recovered by incineration,0
Aberdeen City,2011,Rubber wastes,Recovered by co-incineration,0
Aberdeen City,2011,Rubber wastes,Managed by other methods,0
Aberdeen City,2011,Rubber wastes,Disposed by incineration,0
Aberdeen City,2011,Rubber wastes,Landfilled,0
Aberdeen City,2011,Soils,Generated,0
Aberdeen City,2011,Soils,Prepared for reuse,0
Aberdeen City,2011,Soils,Recycled,0
Aberdeen City,2011,Soils,Organics recycled,0
Aberdeen City,2011,Soils,Recovered by incineration,0
Aberdeen City,2011,Soils,Recovered by co-incineration,0
Aberdeen City,2011,Soils,Managed by other methods,0
Aberdeen City,2011,Soils,Disposed by incineration,0
Aberdeen City,2011,Soils,Landfilled,0
Aberdeen City,2011,Textile wastes,Generated,868.64
Aberdeen City,2011,Textile wastes,Prepared for reuse,0
Aberdeen City,2011,Textile wastes,Recycled,868.64
Aberdeen City,2011,Textile wastes,Organics recycled,0
Aberdeen City,2011,Textile wastes,Recovered by incineration,0
Aberdeen City,2011,Textile wastes,Recovered by co-incineration,0
Aberdeen City,2011,Textile wastes,Managed by other methods,0
Aberdeen City,2011,Textile wastes,Disposed by incineration,0
Aberdeen City,2011,Textile wastes,Landfilled,0
Aberdeen City,2011,Used oils,Generated,11.71
Aberdeen City,2011,Used oils,Prepared for reuse,0
Aberdeen City,2011,Used oils,Recycled,11.71
Aberdeen City,2011,Used oils,Organics recycled,0
Aberdeen City,2011,Used oils,Recovered by incineration,0
Aberdeen City,2011,Used oils,Recovered by co-incineration,0
Aberdeen City,2011,Used oils,Managed by other methods,0
Aberdeen City,2011,Used oils,Disposed by incineration,0
Aberdeen City,2011,Used oils,Landfilled,0
Aberdeen City,2011,Vegetal wastes,Generated,5233.29
Aberdeen City,2011,Vegetal wastes,Prepared for reuse,0
Aberdeen City,2011,Vegetal wastes,Recycled,0
Aberdeen City,2011,Vegetal wastes,Organics recycled,11630.3
Aberdeen City,2011,Vegetal wastes,Recovered by incineration,0
Aberdeen City,2011,Vegetal wastes,Recovered by co-incineration,0
Aberdeen City,2011,Vegetal wastes,Managed by other methods,0
Aberdeen City,2011,Vegetal wastes,Disposed by incineration,0
Aberdeen City,2011,Vegetal wastes,Landfilled,0
Aberdeen City,2011,Wood wastes,Generated,1314.44
Aberdeen City,2011,Wood wastes,Prepared for reuse,0
Aberdeen City,2011,Wood wastes,Recycled,1314.44
Aberdeen City,2011,Wood wastes,Organics recycled,0
Aberdeen City,2011,Wood wastes,Recovered by incineration,0
Aberdeen City,2011,Wood wastes,Recovered by co-incineration,0
Aberdeen City,2011,Wood wastes,Managed by other methods,0
Aberdeen City,2011,Wood wastes,Disposed by incineration,0
Aberdeen City,2011,Wood wastes,Landfilled,0
Aberdeen City,2011,Subtotal,Generated,97183.83
Aberdeen City,2011,Subtotal,Prepared for reuse,0
Aberdeen City,2011,Subtotal,Recycled,19833.09
Aberdeen City,2011,Subtotal,Organics recycled,14828.81
Aberdeen City,2011,Subtotal,Recovered by incineration,0
Aberdeen City,2011,Subtotal,Recovered by co-incineration,0
Aberdeen City,2011,Subtotal,Managed by other methods,0
Aberdeen City,2011,Subtotal,Disposed by incineration,0
Aberdeen City,2011,Subtotal,Landfilled,62521.93
Aberdeen City,2012,Animal and mixed food waste,Generated,5782.13
Aberdeen City,2012,Animal and mixed food waste,Prepared for reuse,0
Aberdeen City,2012,Animal and mixed food waste,Recycled,0
Aberdeen City,2012,Animal and mixed food waste,Organics recycled,3082.87
Aberdeen City,2012,Animal and mixed food waste,Recovered by incineration,0
Aberdeen City,2012,Animal and mixed food waste,Recovered by co-incineration,0
Aberdeen City,2012,Animal and mixed food waste,Managed by other methods,0
Aberdeen City,2012,Animal and mixed food waste,Disposed by incineration,0
Aberdeen City,2012,Animal and mixed food waste,Landfilled,0
Aberdeen City,2012,Batteries and accumulators wastes,Generated,8.85
Aberdeen City,2012,Batteries and accumulators wastes,Prepared for reuse,0
Aberdeen City,2012,Batteries and accumulators wastes,Recycled,8.85
Aberdeen City,2012,Batteries and accumulators wastes,Organics recycled,0
Aberdeen City,2012,Batteries and accumulators wastes,Recovered by incineration,0
Aberdeen City,2012,Batteries and accumulators wastes,Recovered by co-incineration,0
Aberdeen City,2012,Batteries and accumulators wastes,Managed by other methods,0
Aberdeen City,2012,Batteries and accumulators wastes,Disposed by incineration,0
Aberdeen City,2012,Batteries and accumulators wastes,Landfilled,0
Aberdeen City,2012,Chemical wastes,Generated,0
Aberdeen City,2012,Chemical wastes,Prepared for reuse,0
Aberdeen City,2012,Chemical wastes,Recycled,0
Aberdeen City,2012,Chemical wastes,Organics recycled,0
Aberdeen City,2012,Chemical wastes,Recovered by incineration,0
Aberdeen City,2012,Chemical wastes,Recovered by co-incineration,0
Aberdeen City,2012,Chemical wastes,Managed by other methods,0
Aberdeen City,2012,Chemical wastes,Disposed by incineration,0
Aberdeen City,2012,Chemical wastes,Landfilled,0
Aberdeen City,2012,Combustion wastes,Generated,0
Aberdeen City,2012,Combustion wastes,Prepared for reuse,0
Aberdeen City,2012,Combustion wastes,Recycled,0
Aberdeen City,2012,Combustion wastes,Organics recycled,0
Aberdeen City,2012,Combustion wastes,Recovered by incineration,0
Aberdeen City,2012,Combustion wastes,Recovered by co-incineration,0
Aberdeen City,2012,Combustion wastes,Managed by other methods,0
Aberdeen City,2012,Combustion wastes,Disposed by incineration,0
Aberdeen City,2012,Combustion wastes,Landfilled,0
Aberdeen City,2012,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Generated,1356.92
Aberdeen City,2012,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Prepared for reuse,0
Aberdeen City,2012,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recycled,1357.81
Aberdeen City,2012,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Organics recycled,0
Aberdeen City,2012,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recovered by incineration,0
Aberdeen City,2012,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Recovered by co-incineration,0
Aberdeen City,2012,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Managed by other methods,0
Aberdeen City,2012,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Disposed by incineration,0
Aberdeen City,2012,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)",Landfilled,0
Aberdeen City,2012,Discarded vehicles,Generated,0
Aberdeen City,2012,Discarded vehicles,Prepared for reuse,0
Aberdeen City,2012,Discarded vehicles,Recycled,0
Aberdeen City,2012,Discarded vehicles,Organics recycled,0
Aberdeen City,2012,Discarded vehicles,Recovered by incineration,0
Aberdeen City,2012,Discarded vehicles,Recovered by co-incineration,0
Aberdeen City,2012,Discarded vehicles,Managed by other methods,0
Aberdeen City,2012,Discarded vehicles,Disposed by incineration,0
Aberdeen City,2012,Discarded vehicles,Landfilled,0
Aberdeen City,2012,Glass wastes,Generated,4276.79
Aberdeen City,2012,Glass wastes,Prepared for reuse,0
Aberdeen City,2012,Glass wastes,Recycled,4300.35
Aberdeen City,2012,Glass wastes,Organics recycled,0
Aberdeen City,2012,Glass wastes,Recovered by incineration,0
Aberdeen City,2012,Glass wastes,Recovered by co-incineration,0
Aberdeen City,2012,Glass wastes,Managed by other methods,0
Aberdeen City,2012,Glass wastes,Disposed by incineration,0
Aberdeen City,2012,Glass wastes,Landfilled,0
Aberdeen City,2012,Health care and biological wastes,Generated,0
Aberdeen City,2012,Health care and biological wastes,Prepared for reuse,0
Aberdeen City,2012,Health care and biological wastes,Recycled,0
Aberdeen City,2012,Health care and biological wastes,Organics recycled,0
Aberdeen City,2012,Health care and biological wastes,Recovered by incineration,0
Aberdeen City,2012,Health care and biological wastes,Recovered by co-incineration,0
Aberdeen City,2012,Health care and biological wastes,Managed by other methods,0
Aberdeen City,2012,Health care and biological wastes,Disposed by incineration,0
Aberdeen City,2012,Health care and biological wastes,Landfilled,0
Aberdeen City,2012,Household and similar wastes,Generated,62389.68
Aberdeen City,2012,Household and similar wastes,Prepared for reuse,0
Aberdeen City,2012,Household and similar wastes,Recycled,0
Aberdeen City,2012,Household and similar wastes,Organics recycled,0
Aberdeen City,2012,Household and similar wastes,Recovered by incineration,0
Aberdeen City,2012,Household and similar wastes,Recovered by co-incineration,12.02
Aberdeen City,2012,Household and similar wastes,Managed by other methods,0
Aberdeen City,2012,Household and similar wastes,Disposed by incineration,0
Aberdeen City,2012,Household and similar wastes,Landfilled,60988.28
Aberdeen City,2012,"Metallic wastes, ferrous",Generated,0
Aberdeen City,2012,"Metallic wastes, ferrous",Prepared for reuse,0
Aberdeen City,2012,"Metallic wastes, ferrous",Recycled,357.18
Aberdeen City,2012,"Metallic wastes, ferrous",Organics recycled,0
Aberdeen City,2012,"Metallic wastes, ferrous",Recovered by incineration,0
Aberdeen City,2012,"Metallic wastes, ferrous",Recovered by co-incineration,0
Aberdeen City,2012,"Metallic wastes, ferrous",Managed by other methods,0
Aberdeen City,2012,"Metallic wastes, ferrous",Disposed by incineration,0
Aberdeen City,2012,"Metallic wastes, ferrous",Landfilled,0
Aberdeen City,2012,"Metallic wastes, mixed ferrous and non-ferrous",Generated,992.09
Aberdeen City,2012,"Metallic wastes, mixed ferrous and non-ferrous",Prepared for reuse,0
Aberdeen City,2012,"Metallic wastes, mixed ferrous and non-ferrous",Recycled,1022.75
Aberdeen City,2012,"Metallic wastes, mixed ferrous and non-ferrous",Organics recycled,0
Aberdeen City,2012,"Metallic wastes, mixed ferrous and non-ferrous",Recovered by incineration,0
Aberdeen City,2012,"Metallic wastes, mixed ferrous and non-ferrous",Recovered by co-incineration,0
Aberdeen City,2012,"Metallic wastes, mixed ferrous and non-ferrous",Managed by other methods,0
Aberdeen City,2012,"Metallic wastes, mixed ferrous and non-ferrous",Disposed by incineration,0
Aberdeen City,2012,"Metallic wastes, mixed ferrous and non-ferrous",Landfilled,0
Aberdeen City,2012,"Metallic wastes, non-ferrous",Generated,0
Aberdeen City,2012,"Metallic wastes, non-ferrous",Prepared for reuse,0
Aberdeen City,2012,"Metallic wastes, non-ferrous",Recycled,167.19
Aberdeen City,2012,"Metallic wastes, non-ferrous",Organics recycled,0
Aberdeen City,2012,"Metallic wastes, non-ferrous",Recovered by incineration,0
Aberdeen City,2012,"Metallic wastes, non-ferrous",Recovered by co-incineration,0
Aberdeen City,2012,"Metallic wastes, non-ferrous",Managed by other methods,0
Aberdeen City,2012,"Metallic wastes, non-ferrous",Disposed by incineration,0
Aberdeen City,2012,"Metallic wastes, non-ferrous",Landfilled,0
Aberdeen City,2012,Mineral waste from construction and demolition,Generated,2868.27
Aberdeen City,2012,Mineral waste from construction and demolition,Prepared for reuse,0
Aberdeen City,2012,Mineral waste from construction and demolition,Recycled,3162.93
Aberdeen City,2012,Mineral waste from construction and demolition,Organics recycled,0
Aberdeen City,2012,Mineral waste from construction and demolition,Recovered by incineration,0
Aberdeen City,2012,Mineral waste from construction and demolition,Recovered by co-incineration,0
Aberdeen City,2012,Mineral waste from construction and demolition,Managed by other methods,0
Aberdeen City,2012,Mineral waste from construction and demolition,Disposed by incineration,0
Aberdeen City,2012,Mineral waste from construction and demolition,Landfilled,0
Aberdeen City,2012,Mixed and undifferentiated materials,Generated,628.91
Aberdeen City,2012,Mixed and undifferentiated materials,Prepared for reuse,0
Aberdeen City,2012,Mixed and undifferentiated materials,Recycled,14.01
Aberdeen City,2012,Mixed and undifferentiated materials,Organics recycled,0
Aberdeen City,2012,Mixed and undifferentiated materials,Recovered by incineration,0
Aberdeen City,2012,Mixed and undifferentiated materials,Recovered by co-incineration,0
Aberdeen City,2012,Mixed and undifferentiated materials,Managed by other methods,0
Aberdeen City,2012,Mixed and undifferentiated materials,Disposed by incineration,0
Aberdeen City,2012,Mixed and undifferentiated materials,Landfilled,0
Aberdeen City,2012,Paper and cardboard wastes,Generated,7195.45
Aberdeen City,2012,Paper and cardboard wastes,Prepared for reuse,0
Aberdeen City,2012,Paper and cardboard wastes,Recycled,7300.7
Aberdeen City,2012,Paper and cardboard wastes,Organics recycled,0
Aberdeen City,2012,Paper and cardboard wastes,Recovered by incineration,0
Aberdeen City,2012,Paper and cardboard wastes,Recovered by co-incineration,0
Aberdeen City,2012,Paper and cardboard wastes,Managed by other methods,0
Aberdeen City,2012,Paper and cardboard wastes,Disposed by incineration,0
Aberdeen City,2012,Paper and cardboard wastes,Landfilled,0
Aberdeen City,2012,Plastic wastes,Generated,0
Aberdeen City,2012,Plastic wastes,Prepared for reuse,0
Aberdeen City,2012,Plastic wastes,Recycled,735.02
Aberdeen City,2012,Plastic wastes,Organics recycled,0
Aberdeen City,2012,Plastic wastes,Recovered by incineration,0
Aberdeen City,2012,Plastic wastes,Recovered by co-incineration,0
Aberdeen City,2012,Plastic wastes,Managed by other methods,0
Aberdeen City,2012,Plastic wastes,Disposed by incineration,0
Aberdeen City,2012,Plastic wastes,Landfilled,0
Aberdeen City,2012,Rubber wastes,Generated,8.38
Aberdeen City,2012,Rubber wastes,Prepared for reuse,0
Aberdeen City,2012,Rubber wastes,Recycled,8.38
Aberdeen City,2012,Rubber wastes,Organics recycled,0
Aberdeen City,2012,Rubber wastes,Recovered by incineration,0
Aberdeen City,2012,Rubber wastes,Recovered by co-incineration,0
Aberdeen City,2012,Rubber wastes,Managed by other methods,0
Aberdeen City,2012,Rubber wastes,Disposed by incineration,0
Aberdeen City,2012,Rubber wastes,Landfilled,0
Aberdeen City,2012,Soils,Generated,0
Aberdeen City,2012,Soils,Prepared for reuse,0
Aberdeen City,2012,Soils,Recycled,0
Aberdeen City,2012,Soils,Organics recycled,0
Aberdeen City,2012,Soils,Recovered by incineration,0
Aberdeen City,2012,Soils,Recovered by co-incineration,0
Aberdeen City,2012,Soils,Managed by other methods,0
Aberdeen City,2012,Soils,Disposed by incineration,0
Aberdeen City,2012,Soils,Landfilled,0
Aberdeen City,2012,Textile wastes,Generated,1060.92
Aberdeen City,2012,Textile wastes,Prepared for reuse,0
Aberdeen City,2012,Textile wastes,Recycled,1089.94
Aberdeen City,2012,Textile wastes,Organics recycled,0
Aberdeen City,2012,Textile wastes,Recovered by incineration,0
Aberdeen City,2012,Textile wastes,Recovered by co-incineration,0
Aberdeen City,2012,Textile wastes,Managed by other methods,0
Aberdeen City,2012,Textile wastes,Disposed by incineration,0
Aberdeen City,2012,Textile wastes,Landfilled,0
Aberdeen City,2012,Used oils,Generated,11.75
Aberdeen City,2012,Used oils,Prepared for reuse,0
Aberdeen City,2012,Used oils,Recycled,11.75
Aberdeen City,2012,Used oils,Organics recycled,0
Aberdeen City,2012,Used oils,Recovered by incineration,0
Aberdeen City,2012,Used oils,Recovered by co-incineration,0
Aberdeen City,2012,Used oils,Managed by other methods,0
Aberdeen City,2012,Used oils,Disposed by incineration,0
Aberdeen City,2012,Used oils,Landfilled,0
Aberdeen City,2012,Vegetal wastes,Generated,8733.83
Aberdeen City,2012,Vegetal wastes,Prepared for reuse,0
Aberdeen City,2012,Vegetal wastes,Recycled,0
Aberdeen City,2012,Vegetal wastes,Organics recycled,11507.99
Aberdeen City,2012,Vegetal wastes,Recovered by incineration,0
Aberdeen City,2012,Vegetal wastes,Recovered by co-incineration,0
Aberdeen City,2012,Vegetal wastes,Managed by other methods,0
Aberdeen City,2012,Vegetal wastes,Disposed by incineration,0
Aberdeen City,2012,Vegetal wastes,Landfilled,0
Aberdeen City,2012,Wood wastes,Generated,1916.34
Aberdeen City,2012,Wood wastes,Prepared for reuse,0
Aberdeen City,2012,Wood wastes,Recycled,2114.32
Aberdeen City,2012,Wood wastes,Organics recycled,0
Aberdeen City,2012,Wood wastes,Recovered by incineration,0
Aberdeen City,2012,Wood wastes,Recovered by co-incineration,0
Aberdeen City,2012,Wood wastes,Managed by other methods,0
Aberdeen City,2012,Wood wastes,Disposed by incineration,0
Aberdeen City,2012,Wood wastes,Landfilled,0
Aberdeen City,2012,Subtotal,Generated,97230.31
Aberdeen City,2012,Subtotal,Prepared for reuse,0
Aberdeen City,2012,Subtotal,Recycled,21651.18
Aberdeen City,2012,Subtotal,Organics recycled,14590.86
Aberdeen City,2012,Subtotal,Recovered by incineration,0
Aberdeen City,2012,Subtotal,Recovered by co-incineration,12.02
Aberdeen City,2012,Subtotal,Managed by other methods,0
Aberdeen City,2012,Subtotal,Disposed by incineration,0
Aberdeen City,2012,Subtotal,Landfilled,60988.28
Aberdeen City,2013,Animal and mixed food waste,Generated,3089.23
Aberdeen City,2013,Animal and mixed food waste,Prepared for reuse,
Aberdeen City,2013,Animal and mixed food waste,Recycled,
Aberdeen City,2013,Animal and mixed food waste,Organics recycled,3097.92
Aberdeen City,2013,Animal and mixed food waste,Recovered by incineration,
Aberdeen City,2013,Animal and mixed food waste,Recovered by co-incineration,
Aberdeen City,2013,Animal and mixed food waste,Managed by other methods,
Aberdeen City,2013,Animal and mixed food waste,Disposed by incineration,
Aberdeen City,2013,Animal and mixed food waste,Landfilled,
Aberdeen City,2013,Batteries and accumulators wastes,Generated,4.14
Aberdeen City,2013,Batteries and accumulators wastes,Prepared for reuse,
Aberdeen City,2013,Batteries and accumulators wastes,Recycled,4.14
Aberdeen City,2013,Batteries and accumulators wastes,Organics recycled,
Aberdeen City,2013,Batteries and accumulators wastes,Recovered by incineration,
Aberdeen City,2013,Batteries and accumulators wastes,Recovered by co-incineration,
Aberdeen City,2013,Batteries and accumulators wastes,Managed by other methods,
Aberdeen City,2013,Batteries and accumulators wastes,Disposed by incineration,
Aberdeen City,2013,Batteries and accumulators wastes,Landfilled,
Aberdeen City,2013,Chemical wastes,Generated,
Aberdeen City,2013,Chemical wastes,Prepared for reuse,
Aberdeen City,2013,Chemical wastes,Recycled,
